code,eu
EL,http://publications.europa.eu/resource/authority/country/GRC
DE,http://publications.europa.eu/resource/authority/country/DEU
FR,http://publications.europa.eu/resource/authority/country/FRA
UK,http://publications.europa.eu/resource/authority/country/GBR
AT,http://publications.europa.eu/resource/authority/country/AUT
BE,http://publications.europa.eu/resource/authority/country/BEL
BG,http://publications.europa.eu/resource/authority/country/BGR
CH,http://publications.europa.eu/resource/authority/country/CHE
CY,http://publications.europa.eu/resource/authority/country/CYP
CZ,http://publications.europa.eu/resource/authority/country/CZE
DK,http://publications.europa.eu/resource/authority/country/DNK
EE,http://publications.europa.eu/resource/authority/country/EST
ES,http://publications.europa.eu/resource/authority/country/ESP
FI,http://publications.europa.eu/resource/authority/country/FIN
HR,http://publications.europa.eu/resource/authority/country/HRV
HU,http://publications.europa.eu/resource/authority/country/HUN
IE,http://publications.europa.eu/resource/authority/country/IRL
IT,http://publications.europa.eu/resource/authority/country/ITA
LT,http://publications.europa.eu/resource/authority/country/LTU
LU,http://publications.europa.eu/resource/authority/country/LUX
LV,http://publications.europa.eu/resource/authority/country/LVA
MT,http://publications.europa.eu/resource/authority/country/MLT
NL,http://publications.europa.eu/resource/authority/country/NLD
NO,http://publications.europa.eu/resource/authority/country/NOR
PL,http://publications.europa.eu/resource/authority/country/POL
PT,http://publications.europa.eu/resource/authority/country/PRT
RO,http://publications.europa.eu/resource/authority/country/ROU
SE,http://publications.europa.eu/resource/authority/country/SWE
SI,http://publications.europa.eu/resource/authority/country/SVN
SK,http://publications.europa.eu/resource/authority/country/SVK