index,predicate
1.1.0.0.0.1,http://data.europa.eu/949/imCode
1.1.0.0.0.2,http://data.europa.eu/949/lineNationalId
1.1.0.0.0.3,http://data.europa.eu/949/opStart
1.1.0.0.0.4,http://data.europa.eu/949/opEnd
1.1.0.0.0.5,http://data.europa.eu/949/length
1.1.0.0.0.6,http://data.europa.eu/949/solNature
1.1.1.0.0.1,http://data.europa.eu/949/trackId
1.1.1.0.0.2,http://data.europa.eu/949/trackDirection
1.1.1.1.1.1,http://data.europa.eu/949/verificationINF
1.1.1.1.1.2,http://data.europa.eu/949/demonstrationINF
1.1.1.1.2.1,http://data.europa.eu/949/tenClassification
1.1.1.1.2.1.2,http://data.europa.eu/949/tenGISId
1.1.1.1.2.2,http://data.europa.eu/949/lineCategory
1.1.1.1.2.3,http://data.europa.eu/949/freightCorridor
1.1.1.1.2.4,http://data.europa.eu/949/loadCapability
1.1.1.1.2.4.1,http://data.europa.eu/949/nationalLoadCapability
1.1.1.1.2.4.2,http://data.europa.eu/949/highSpeedLoadModelCompliance
1.1.1.1.2.4.3,http://data.europa.eu/949/structureCheckLocation
1.1.1.1.2.4.4,http://data.europa.eu/949/compatibilityProcedureDocument
1.1.1.1.2.5,http://data.europa.eu/949/maximumPermittedSpeed
1.1.1.1.2.6,http://data.europa.eu/949/minimumTemperature
1.1.1.1.2.6,http://data.europa.eu/949/maximumTemperature
1.1.1.1.2.7,http://data.europa.eu/949/maximumAltitude
1.1.1.1.2.8,http://data.europa.eu/949/hasSevereWeatherConditions
1.1.1.1.3.1.1,http://data.europa.eu/949/gaugingProfile
1.1.1.1.3.1.2,http://data.europa.eu/949/gaugingCheckLocation
1.1.1.1.3.1.3,http://data.europa.eu/949/gaugingTransversalDocument
1.1.1.1.3.4,http://data.europa.eu/949/profileNumberSwapBodies
1.1.1.1.3.5,http://data.europa.eu/949/profileNumberSemiTrailers
1.1.1.1.3.5.1,http://data.europa.eu/949/specificInformation
1.1.1.1.3.6,http://data.europa.eu/949/gradientProfile
1.1.1.1.3.7,http://data.europa.eu/949/minimumHorizontalRadius
1.1.1.1.4.1,http://data.europa.eu/949/wheelSetGauge
1.1.1.1.4.2,http://data.europa.eu/949/cantDeficiency
1.1.1.1.4.3,http://data.europa.eu/949/railInclination
1.1.1.1.4.4,http://data.europa.eu/949/hasBallast
1.1.1.1.5.1,http://data.europa.eu/949/tsiSwitchCrossing
1.1.1.1.5.2,http://data.europa.eu/949/minimumWheelDiameter
1.1.1.1.6.1,http://data.europa.eu/949/maximumTrainDeceleration
1.1.1.1.6.2,http://data.europa.eu/949/eddyCurrentBraking
1.1.1.1.6.3,http://data.europa.eu/949/magneticBraking
1.1.1.1.6.4,http://data.europa.eu/949/eddyCurrentBrakingConditionsDocument
1.1.1.1.6.5,http://data.europa.eu/949/magneticBrakingConditionsDocument
1.1.1.1.7.1,http://data.europa.eu/949/flangeLubeForbidden
1.1.1.1.7.2,http://data.europa.eu/949/hasLevelCrossings
1.1.1.1.7.3,http://data.europa.eu/949/accelerationLevelCrossing
1.1.1.1.7.4,http://data.europa.eu/949/hasHotAxleBoxDetector
1.1.1.1.7.5,http://data.europa.eu/949/hotAxleBoxDetectorTSICompliant
1.1.1.1.7.6,http://data.europa.eu/949/hotAxleBoxDetectorIdentification
1.1.1.1.7.7,http://data.europa.eu/949/hotAxleBoxDetectorGeneration
1.1.1.1.7.8,http://data.europa.eu/949/hotAxleBoxDetectorLocation
1.1.1.1.7.9,http://data.europa.eu/949/hotAxleBoxDetectorDirection
1.1.1.1.7.10,http://data.europa.eu/949/redLightsRequired
1.1.1.1.7.11,http://data.europa.eu/949/isQuietRoute
1.1.1.1.8.1,http://data.europa.eu/949/imCode
1.1.1.1.8.2,http://data.europa.eu/949/tunnelIdentification
1.1.1.1.8.3,http://data.europa.eu/949/startLocation
1.1.1.1.8.4,http://data.europa.eu/949/endLocation
1.1.1.1.8.5,http://data.europa.eu/949/verificationSRT
1.1.1.1.8.6,http://data.europa.eu/949/demonstrationSRT
1.1.1.1.8.7,http://data.europa.eu/949/length
1.1.1.1.8.8,http://data.europa.eu/949/crossSectionArea
1.1.1.1.8.8.1,http://data.europa.eu/949/complianceInfTsi
1.1.1.1.8.8.2,http://data.europa.eu/949/tunnelDocRef
1.1.1.1.8.9,http://data.europa.eu/949/hasEmergencyPlan
1.1.1.1.8.10,http://data.europa.eu/949/rollingStockFireCategory
1.1.1.1.8.11,http://data.europa.eu/949/nationalRollingStockFireCategory
1.1.1.2.1.1,http://data.europa.eu/949/verificationENE
1.1.1.2.1.2,http://data.europa.eu/949/demonstrationENE
1.1.1.2.2.1.1,http://data.europa.eu/949/contactLineSystemType
1.1.1.2.2.1.2,http://data.europa.eu/949/energySupplySystem
1.1.1.2.2.1.2.1,http://data.europa.eu/949/energySupplySystemTSICompliant
1.1.1.2.2.1.3,http://data.europa.eu/949/umax2
1.1.1.2.2.2,http://data.europa.eu/949/maxTrainCurrent
1.1.1.2.2.3,http://data.europa.eu/949/maxCurrentStandstillPantograph
1.1.1.2.2.4,http://data.europa.eu/949/hasRegenerativeBrake
1.1.1.2.2.4,http://data.europa.eu/949/conditionalRegenerativeBrake
1.1.1.2.2.5,http://data.europa.eu/949/maximumContactWireHeight
1.1.1.2.2.6,http://data.europa.eu/949/minimumContactWireHeight
1.1.1.2.3.1,http://data.europa.eu/949/pantographHead
1.1.1.2.3.2,http://data.europa.eu/949/pantographHead
1.1.1.2.3.3,http://data.europa.eu/949/raisedPantographsDistanceAndSpeed
1.1.1.2.3.4,http://data.europa.eu/949/contactStripMaterial
1.1.1.2.4.1.1,http://data.europa.eu/949/phaseSeparation
1.1.1.2.4.1.2,http://data.europa.eu/949/phaseInfo
1.1.1.2.4.2.1,http://data.europa.eu/949/hasSystemSeparation
1.1.1.2.4.2.2,http://data.europa.eu/949/systemSeparationInfo
1.1.1.2.4.3,http://data.europa.eu/949/distSignToPhaseEnd
1.1.1.2.5.1,http://data.europa.eu/949/currentLimitationRequired
1.1.1.2.5.2,http://data.europa.eu/949/permittedContactForce
1.1.1.2.5.3,http://data.europa.eu/949/automaticDroppingDeviceRequired
1.1.1.3.1.1,http://data.europa.eu/949/verificationCSS
1.1.1.3.2.1,http://data.europa.eu/949/etcsLevelType
1.1.1.3.2.2,http://data.europa.eu/949/etcsBaseline
1.1.1.3.2.3,http://data.europa.eu/949/etcsInfillLineAccess
1.1.1.3.2.4,http://data.europa.eu/949/etcsInfill
1.1.1.3.2.5,http://data.europa.eu/949/etcsNationalPacket44
1.1.1.3.2.6,http://data.europa.eu/949/hasETCSRestrictionsConditions
1.1.1.3.2.7,http://data.europa.eu/949/etcsOptionalFunctions
1.1.1.3.2.8,http://data.europa.eu/949/trainIntegrityOnBoardRequired
1.1.1.3.2.9,http://data.europa.eu/949/etcsSystemCompatibility
1.1.1.3.2.10,http://data.europa.eu/949/etcsMVersion
1.1.1.3.3.1,http://data.europa.eu/949/gsmRVersion
1.1.1.3.3.2,http://data.europa.eu/949/gsmRActiveMobiles
1.1.1.3.3.3,http://data.europa.eu/949/gsmROptionalFunctions
1.1.1.3.3.3.1,http://data.europa.eu/949/gsmRAdditionalInfo
1.1.1.3.3.3.2,http://data.europa.eu/949/gprsForETCS
1.1.1.3.3.3.3,http://data.europa.eu/949/gprsImplementationArea
1.1.1.3.3.4,http://data.europa.eu/949/usesGroup555
1.1.1.3.3.5,http://data.europa.eu/949/gsmrNetworkCoverage
1.1.1.3.3.6,http://data.europa.eu/949/publicNetworkRoaming
1.1.1.3.3.7,http://data.europa.eu/949/publicNetworkRoamingDetails
1.1.1.3.3.8,http://data.europa.eu/949/gsmRNoCoverage
1.1.1.3.3.9,http://data.europa.eu/949/voiceRadioCompatible
1.1.1.3.3.10,http://data.europa.eu/949/dataRadioCompatible
1.1.1.3.4.1,http://data.europa.eu/949/hasTSITrainDetection
1.1.1.3.5.1,http://data.europa.eu/949/hasOtherTrainProtection
1.1.1.3.5.2,http://data.europa.eu/949/multipleTrainProtectionRequired
1.1.1.3.5.3,http://data.europa.eu/949/protectionLegacySystem
1.1.1.3.6.1,http://data.europa.eu/949/legacyRadioSystem
1.1.1.3.7.1.1,http://data.europa.eu/949/trainDetectionSystemType
1.1.1.3.7.1.2,http://data.europa.eu/949/trainDetectionSystemSpecificCheck
1.1.1.3.7.1.3,http://data.europa.eu/949/trainDetectionSystemSpecificCheckDocument
1.1.1.3.7.1.4,http://data.europa.eu/949/frenchTrainDetectionSystemLimitation
1.1.1.3.7.2.1,http://data.europa.eu/949/tsiCompliantMaxDistConsecutiveAxles
1.1.1.3.7.2.2,http://data.europa.eu/949/maxDistConsecutiveAxles
1.1.1.3.7.3,http://data.europa.eu/949/minDistConsecutiveAxles
1.1.1.3.7.4,http://data.europa.eu/949/minDistFirstLastAxle
1.1.1.3.7.5,http://data.europa.eu/949/maxDistEndTrainFirstAxle
1.1.1.3.7.6,http://data.europa.eu/949/minRimWidth
1.1.1.3.7.7,http://data.europa.eu/949/minWheelDiameter
1.1.1.3.7.8,http://data.europa.eu/949/minFlangeThickness
1.1.1.3.7.9,http://data.europa.eu/949/minFlangeHeight
1.1.1.3.7.10,http://data.europa.eu/949/maxFlangeHeight
1.1.1.3.7.11,http://data.europa.eu/949/minAxleLoad
1.1.1.3.7.11.1,http://data.europa.eu/949/minAxleLoadVehicleCategory
1.1.1.3.7.12,http://data.europa.eu/949/tsiCompliantMetalFreeSpace
1.1.1.3.7.13,http://data.europa.eu/949/tsiCompliantMetalConstruction
1.1.1.3.7.14,http://data.europa.eu/949/tsiCompliantFerromagneticWheel
1.1.1.3.7.15.1,http://data.europa.eu/949/tsiCompliantMaxImpedanceWheelset
1.1.1.3.7.15.2,http://data.europa.eu/949/maxImpedanceWheelset
1.1.1.3.7.16,http://data.europa.eu/949/tsiCompliantSanding
1.1.1.3.7.17,http://data.europa.eu/949/maxSandingOutput
1.1.1.3.7.18,http://data.europa.eu/949/requiredSandingOverride
1.1.1.3.7.19,http://data.europa.eu/949/tsiCompliantSandCharacteristics
1.1.1.3.7.20,http://data.europa.eu/949/flangeLubeRules
1.1.1.3.7.21,http://data.europa.eu/949/tsiCompliantCompositeBrakeBlocks
1.1.1.3.7.22,http://data.europa.eu/949/tsiCompliantShuntDevices
1.1.1.3.7.23,http://data.europa.eu/949/tsiCompliantRSTShuntImpedance
1.1.1.3.8.1,http://data.europa.eu/949/switchProtectControlWarning
1.1.1.3.8.2,http://data.europa.eu/949/switchRadioSystem
1.1.1.3.9.1,http://data.europa.eu/949/TSIMagneticFields
1.1.1.3.9.2,http://data.europa.eu/949/TSITractionHarmonics
1.1.1.3.10.1,http://data.europa.eu/949/etcsDegradedSituation
1.1.1.3.10.2,http://data.europa.eu/949/otherTrainProtection
1.1.1.3.11.1,http://data.europa.eu/949/maximumBrakingDistance
1.1.1.3.11.2,http://data.europa.eu/949/hasAdditionalBrakingInformation
1.1.1.3.11.3,http://data.europa.eu/949/additionalBrakingInformationDocument
1.1.1.3.12.1,http://data.europa.eu/949/tiltingSupported
1.1.1.4.1,http://data.europa.eu/949/localRulesOrRestrictions
1.1.1.4.2,http://data.europa.eu/949/localRulesOrRestrictionsDoc
1.2.0.0.0.1,http://data.europa.eu/949/opName
1.2.0.0.0.2,http://data.europa.eu/949/uopid
1.2.0.0.0.3,http://data.europa.eu/949/tafTAPCode
1.2.0.0.0.4,http://data.europa.eu/949/opType
1.2.0.0.0.4.1,http://data.europa.eu/949/opTypeGaugeChangeover
1.2.0.0.0.6,http://data.europa.eu/949/lineReference
1.2.1.0.0.1,http://data.europa.eu/949/imCode
1.2.1.0.0.2,http://data.europa.eu/949/trackId
1.2.1.0.1.1,http://data.europa.eu/949/verificationINF
1.2.1.0.1.2,http://data.europa.eu/949/demonstrationINF
1.2.1.0.2.1,http://data.europa.eu/949/tenClassification
1.2.1.0.2.2,http://data.europa.eu/949/lineCategory
1.2.1.0.2.3,http://data.europa.eu/949/freightCorridor
1.2.1.0.3.4,http://data.europa.eu/949/gaugingProfile
1.2.1.0.3.5,http://data.europa.eu/949/gaugingCheckLocation
1.2.1.0.3.6,http://data.europa.eu/949/gaugingTransversalDocument
1.2.1.0.4.1,http://data.europa.eu/949/wheelSetGauge
1.2.1.0.5.1,http://data.europa.eu/949/imCode
1.2.1.0.5.2,http://data.europa.eu/949/tunnelIdentification
1.2.1.0.5.3,http://data.europa.eu/949/verificationSRT
1.2.1.0.5.4,http://data.europa.eu/949/demonstrationSRT
1.2.1.0.5.5,http://data.europa.eu/949/length
1.2.1.0.5.6,http://data.europa.eu/949/hasEmergencyPlan
1.2.1.0.5.7,http://data.europa.eu/949/rollingStockFireCategory
1.2.1.0.5.8,http://data.europa.eu/949/nationalRollingStockFireCategory
1.2.1.0.5.9,http://data.europa.eu/949/dieselThermalAllowed
1.2.1.0.6.1,http://data.europa.eu/949/imCode
1.2.1.0.6.2,http://data.europa.eu/949/platformId
1.2.1.0.6.3,http://data.europa.eu/949/tenClassification
1.2.1.0.6.4,http://data.europa.eu/949/length
1.2.1.0.6.5,http://data.europa.eu/949/platformHeight
1.2.1.0.6.6,http://data.europa.eu/949/assistanceStartingTrain
1.2.1.0.6.7,http://data.europa.eu/949/areaBoardingAid
1.2.2.0.0.1,http://data.europa.eu/949/imCode
1.2.2.0.0.2,http://data.europa.eu/949/sidingId
1.2.2.0.0.3,http://data.europa.eu/949/tenClassification
1.2.2.0.1.1,http://data.europa.eu/949/verificationINF
1.2.2.0.1.2,http://data.europa.eu/949/demonstrationINF
1.2.2.0.2.1,http://data.europa.eu/949/length
1.2.2.0.3.1,http://data.europa.eu/949/gradient
1.2.2.0.3.2,http://data.europa.eu/949/minimumHorizontalRadius
1.2.2.0.3.3,http://data.europa.eu/949/minimumVerticalRadius
1.2.2.0.4.1,http://data.europa.eu/949/hasToiletDischarge
1.2.2.0.4.2,http://data.europa.eu/949/hasExternalCleaning
1.2.2.0.4.3,http://data.europa.eu/949/hasWaterRestocking
1.2.2.0.4.4,http://data.europa.eu/949/hasRefuelling
1.2.2.0.4.5,http://data.europa.eu/949/hasSandRestocking
1.2.2.0.4.6,http://data.europa.eu/949/hasElectricShoreSupply
1.2.2.0.5.1,http://data.europa.eu/949/imCode
1.2.2.0.5.2,http://data.europa.eu/949/tunnelIdentification
1.2.2.0.5.3,http://data.europa.eu/949/verificationSRT
1.2.2.0.5.4,http://data.europa.eu/949/demonstrationSRT
1.2.2.0.5.5,http://data.europa.eu/949/length
1.2.2.0.5.6,http://data.europa.eu/949/hasEmergencyPlan
1.2.2.0.5.7,http://data.europa.eu/949/rollingStockFireCategory
1.2.2.0.5.8,http://data.europa.eu/949/nationalRollingStockFireCategory
1.2.2.0.6.1,http://data.europa.eu/949/maxCurrentStandstillPantograph
1.2.3.1,http://data.europa.eu/949/localRulesOrRestrictions
1.2.3.2,http://data.europa.eu/949/localRulesOrRestrictionsDoc
